Date,Open,High,Low,Close,Volume,Symbol
2021-10-29,144.464,147.145,143.687,147.006,127325178,AAPL
2021-10-28,147.026,150.318,146.927,149.736,101977685,AAPL
2021-10-27,146.575,146.937,145.717,146.07,57159789,AAPL
2021-10-26,146.546,148.033,146.228,146.536,62049345,AAPL
2021-10-25,145.904,146.585,144.869,145.864,51683393,AAPL
2021-10-22,146.897,147.383,145.864,145.914,60001238,AAPL
2021-10-21,146.03,146.85,145.106,146.692,62586956,AAPL
2021-10-20,145.924,146.967,145.35,146.476,59527762,AAPL
2021-10-19,144.259,146.386,143.824,145.982,77828808,AAPL
2021-10-18,140.78,144.11,140.493,143.824,87213931,AAPL
2021-10-15,141.093,142.199,140.837,142.15,69230059,AAPL
2021-10-14,139.457,141.202,138.867,141.083,71234160,AAPL
2021-10-13,138.599,138.757,136.611,138.277,80257888,AAPL
2021-10-12,140.562,140.582,138.406,138.867,74422312,AAPL
2021-10-11,139.615,142.121,139.164,140.147,65675727,AAPL
2021-10-08,141.352,141.499,139.903,140.237,59888856,AAPL
2021-10-07,140.393,141.527,140.059,140.622,62904538,AAPL
2021-10-06,136.877,139.497,135.792,139.349,84800920,AAPL
2021-10-05,136.895,139.587,136.767,138.472,82396063,AAPL
2021-10-04,139.115,139.557,135.694,136.551,100188473,AAPL
2021-10-01,139.25,140.257,136.522,139.991,96436142,AAPL
2021-09-30,140.985,141.694,138.639,138.857,90747243,AAPL
2021-09-29,139.813,141.763,139.378,140.167,76018228,AAPL
2021-09-28,140.582,142.062,139.046,139.26,111040982,AAPL
2021-09-27,142.77,143.242,141.143,142.671,75558346,AAPL
2021-09-24,142.949,144.72,142.86,144.189,54493049,AAPL
2021-09-23,143.92,144.338,142.929,144.1,66069006,AAPL
2021-09-22,141.763,143.706,141.025,143.133,77854740,AAPL
2021-09-21,141.252,141.912,140.118,140.76,77273532,AAPL
2021-09-20,141.123,142.15,138.629,140.276,125822885,AAPL
2021-09-17,146.04,146.04,143.044,143.34,132334149,AAPL
2021-09-16,145.668,146.189,144.474,146.01,69325654,AAPL
2021-09-15,145.786,146.653,143.648,146.247,84862260,AAPL
2021-09-14,147.547,148.258,144.179,145.35,111371086,AAPL
2021-09-13,147.825,148.605,145.973,146.76,104348289,AAPL
2021-09-10,152.102,152.574,145.924,146.189,143567838,AAPL
2021-09-09,152.584,153.197,151.076,151.195,58393575,AAPL
2021-09-08,154.051,154.111,151.096,152.211,75832940,AAPL
2021-09-07,152.073,154.329,151.511,153.769,83840164,AAPL
2021-09-03,150.901,151.737,150.251,151.422,58964549,AAPL
2021-09-02,150.999,151.825,149.568,150.792,72522375,AAPL
2021-09-01,149.994,152.082,149.511,149.676,81838322,AAPL
2021-08-31,149.825,149.964,148.476,149.007,88094273,AAPL
2021-08-30,146.218,150.633,145.836,150.278,92683371,AAPL
2021-08-27,144.73,145.973,144.1,145.826,56861695,AAPL
2021-08-26,145.598,146.336,144.76,144.78,49519725,AAPL
2021-08-25,147.016,147.518,145.038,145.588,60111140,AAPL
2021-08-24,146.663,148.053,146.366,146.83,49529132,AAPL
2021-08-23,145.539,147.393,145.125,146.917,61273303,AAPL
2021-08-20,144.69,145.726,144.05,145.42,61699054,AAPL
2021-08-19,142.335,145.233,141.812,143.97,88611094,AAPL
2021-08-18,147.006,147.914,143.43,143.638,87964732,AAPL
2021-08-17,147.431,148.858,146.306,147.393,93980548,AAPL
2021-08-16,145.766,148.377,143.744,148.307,105524658,AAPL
2021-08-13,146.189,146.663,145.499,146.316,60502136,AAPL
2021-08-12,143.47,146.267,143.124,146.11,75179675,AAPL
2021-08-11,143.33,143.99,142.83,143.143,49414023,AAPL
2021-08-10,143.716,144.948,142.602,142.9,70333359,AAPL
2021-08-09,143.48,143.97,142.82,143.37,49837132,AAPL
2021-08-06,143.628,144.368,142.92,143.42,55154312,AAPL
2021-08-05,144.03,144.859,143.232,144.11,47349283,AAPL
2021-08-04,144.308,144.81,143.34,144.0,57524377,AAPL
2021-08-03,142.89,145.058,142.267,144.396,66115383,AAPL
2021-08-02,143.42,144.0,142.335,142.602,64169620,AAPL
2021-07-30,141.479,143.39,141.212,142.929,71885353,AAPL
2021-07-29,141.783,143.609,141.675,142.72,57862373,AAPL
2021-07-28,141.932,144.02,139.675,142.072,121370453,AAPL
2021-07-27,146.129,146.209,142.632,143.824,106968392,AAPL
2021-07-26,145.281,146.82,144.73,145.992,73919702,AAPL
2021-07-23,144.581,145.726,143.97,145.569,72912793,AAPL
2021-07-22,143.004,145.203,142.89,143.854,78924350,AAPL
2021-07-21,142.612,143.192,141.724,142.482,76531564,AAPL
2021-07-20,140.582,144.15,140.088,143.212,98326160,AAPL
2021-07-19,140.857,141.173,138.817,139.587,123925177,AAPL
2021-07-16,145.469,146.751,142.949,143.45,95163999,AAPL
2021-07-15,146.238,146.986,144.14,145.489,109011165,AAPL
2021-07-14,145.116,146.566,144.71,146.149,129656578,AAPL
2021-07-13,141.163,144.493,140.75,142.72,102895047,AAPL
2021-07-12,143.271,143.38,141.103,141.595,77864615,AAPL
2021-07-09,139.883,142.73,139.783,142.199,101939546,AAPL
2021-07-08,138.727,141.163,137.831,140.364,107740796,AAPL
2021-07-07,140.652,141.982,139.793,141.665,107063310,AAPL
2021-07-06,137.26,140.276,137.26,139.164,110400585,AAPL
2021-07-02,135.131,137.191,134.983,137.151,80564735,AAPL
2021-07-01,133.862,134.57,133.033,134.512,53562258,AAPL
2021-06-30,133.435,134.649,133.143,134.214,64558875,AAPL
2021-06-29,132.087,133.754,131.643,133.595,65880117,AAPL
2021-06-28,130.736,132.52,130.676,132.067,63385196,AAPL
2021-06-25,130.786,131.2,130.146,130.441,72235510,AAPL
2021-06-24,131.742,131.93,130.264,130.736,70120251,AAPL
2021-06-23,131.082,131.613,130.559,131.013,61449184,AAPL
2021-06-22,129.475,131.378,128.972,131.289,76317419,AAPL
2021-06-21,127.681,129.75,126.619,129.643,81297199,AAPL
2021-06-18,128.075,128.865,127.621,127.829,111187926,AAPL
2021-06-17,127.199,129.888,127.051,129.139,98705417,AAPL
2021-06-16,127.741,128.253,125.879,127.533,93698140,AAPL
2021-06-15,127.337,127.967,126.794,127.041,64033250,AAPL
2021-06-14,125.248,127.908,124.519,127.849,98894027,AAPL
2021-06-11,123.995,124.871,123.573,124.785,54620109,AAPL
2021-06-10,124.469,125.612,123.414,123.583,72646445,AAPL
2021-06-09,124.646,125.179,123.985,124.577,58044495,AAPL
2021-06-08,124.065,125.879,123.68,124.192,75929785,AAPL
2021-06-07,123.641,123.789,122.33,123.374,72514930,AAPL
2021-06-04,121.572,123.632,121.354,123.364,76711056,AAPL
2021-06-03,122.173,122.34,120.655,121.06,77792620,AAPL
2021-06-02,121.789,122.725,121.552,122.547,60494663,AAPL
2021-06-01,122.566,122.835,121.443,121.779,69024346,AAPL
2021-05-28,123.05,123.275,122.045,122.104,72773689,AAPL
2021-05-27,123.907,125.069,122.566,122.765,96566359,AAPL
2021-05-26,124.409,124.824,123.887,124.301,57736284,AAPL
2021-05-25,125.248,125.741,123.789,124.351,73486386,AAPL
2021-05-24,123.484,125.366,123.414,124.549,64386972,AAPL
2021-05-21,125.248,125.425,122.695,122.912,80921773,AAPL
2021-05-20,122.715,125.149,122.586,124.745,78433451,AAPL
